after_follower,birth_date,collaboration,death_date,display_name,first,fullname,irn,last,middle,nationality,organization,party_type,role,ulan:id,ulan:name
,,,,Lee Hall,Lee,Lee Hall,6057,Hall,,,,Registration-Verified,Artist,,
,1823,,1894,"Hart, William M.",William,William M. Hart,605723,Hart,M,,,Ulan,Artist,500005878,"Hart, William M."
,1884,,1976,"Schmidt-Rottluff, Karl",Karl,Karl Schmidt-Rottluff,605784,Schmidt-Rottluff,,,,Ulan,Artist,500005940,"Schmidt-Rottluff, Karl"
,,,,Jacqueline Z. Moses,Jacqueline,Jacqueline Z. Moses,6058,Moses,Zeller,,,Registration-Verified,Artist,,
,1582,,1658,"Cleyn, Francis",Francis,Francis Cleyn,605866,Cleyn,,,,Ulan,Artist,500006024,"Cleyn, Francis"
,1928,,1987,"Warhol, Andy",Andy,Andy Warhol,605873,Warhol,,,,Ulan,Artist,500006031,"Warhol, Andy"
,1943,,,Steven A. Linn,Steven,Steven A. Linn,6059,Linn,A.,,,Registration-Verified,Artist,,
,1910,,1961,"Saarinen, Eero",Eero,Eero Saarinen,605980,Saarinen,,,,Ulan,Artist,500006141,"Saarinen, Eero"
,1839,,1921,"Heymans, Adriaan Joseph",Adriaan,Adriaan J. Heymans,605998,Heymans,Joseph,,,Ulan,Artist,500006159,"Heymans, Adriaan Joseph"
,1857,,1922,"Dow, Arthur Wesley",Arthur,Arthur W. Dow,606042,Dow,Wesley,,,Ulan,Artist,500006205,"Dow, Arthur Wesley"
,1883,,1970,"Hayden, Henri",Henri,Henri Hayden,606053,Hayden,,,,Ulan,Artist,500006216,"Hayden, Henri"
,1927,,,"Leslie, Alfred",Alfred,Alfred Leslie,606065,Leslie,,,,Ulan,Artist,500006228,"Leslie, Alfred"
,1922,,1997,"Stamos, Theodoros",Theodoros,Theodoros Stamos,606073,Stamos,,,,Ulan,Artist,500006236,"Stamos, Theodoros"
,1819,,1900,"Ruskin, John",John,John Ruskin,606098,Ruskin,,,,Ulan,Artist,500006262,"Ruskin, John"
,1924,,,Ronald H. Pearson,Ronald,Ronald H. Pearson,6061,Pearson,Hayes,American,,Registration-Verified,Artist,,
,1751,,1801,"Hamilton, William",William,William Hamilton,606125,Hamilton,,,,Ulan,Artist,500006289,"Hamilton, William"
,1902,,1982,"Lam, Wifredo",Wifredo,Wifredo Lam,606152,Lam,,,,Ulan,Artist,500006317,"Lam, Wifredo"
,1938,,,"Mangold, Sylvia Plimack",Sylvia,Sylvia P. Mangold,606237,Mangold,Plimack,,,Ulan,Artist,500006404,"Mangold, Sylvia Plimack"
,1931,,,"Mack, Heinz",Heinz,Heinz Mack,606283,Mack,,,,Ulan,Artist,500006451,"Mack, Heinz"
,1466,,1513,"Mainardi, Bastiano",Bastiano,Bastiano Mainardi,606412,Mainardi,,,,Ulan,Artist,500006581,"Mainardi, Bastiano"
,1882,,1964,"Gaspard, Leon",Leon,Leon Gaspard,606464,Gaspard,,,,Ulan,Artist,500006633,"Gaspard, Leon"
,1589,,1626,"Govaerts, Abraham",Abraham,Abraham Govaerts,606470,Govaerts,,,,Ulan,Artist,500006639,"Govaerts, Abraham"
,1861,,1927,"Grover, Oliver Dennett",Oliver,Oliver D. Grover,606471,Grover,Dennett,,,Ulan,Artist,500006640,"Grover, Oliver Dennett"
,1857,,1918,"Abel-Truchet, Louis",Abel,Abel Truchet,606474,Truchet,,,,Ulan,Artist,500006643,"Abel-Truchet, Louis"
,1711,,1779,"Punt, Jan",Jan,Jan Punt,606533,Punt,,,,Ulan,Artist,500006702,"Punt, Jan"
,1614,,1685,"Carreño de Miranda, Juan",Juan,Juan Carreño de Miranda,606542,Carreño de Miranda,,,,Ulan,Artist,500006711,"Carreño de Miranda, Juan"
,1728,,1784,"Barret, George",George,George Barret,606682,Barret,,,,Ulan,Artist,500006857,"Barret, George"
,1783,,1872,"Sully, Thomas",Thomas,Thomas Sully,606697,Sully,,  ,,Ulan,Artist,500006873,"Sully, Thomas"
,1837,,1880,"Jacquemart, Jules Ferdinand",Jules,Jules F. Jacquemart,606706,Jacquemart,Ferdinand,,,Ulan,Artist,500006882,"Jacquemart, Jules Ferdinand"
,1616,,1671,"Bourdon, Sébastien",S,S é. Bourdon,606724,Bourdon,ébastien,,,Ulan,Artist,500006900,"Bourdon, Sébastien"
,1756,,1827,"Rowlandson, Thomas",Thomas,Thomas Rowlandson,606754,Rowlandson,,,,Ulan,Artist,500006930,"Rowlandson, Thomas"
,1730,,1803,"Diana, Giacinto",Giacinto,Giacinto Diana,606789,Diana,,,,Ulan,Artist,500006966,"Diana, Giacinto"
,1927,,,"Snelson, Kenneth D.",Kenneth,Kenneth D. Snelson,606827,Snelson,D,,,Ulan,Artist,500007005,"Snelson, Kenneth D."
,1849,,1906,"Carrière, Eugène",Eugène,Eugène Carrière,606834,Carrière,,,,Ulan,Artist,500007012,"Carrière, Eugène"
,1698,,1780,"Houbraken, Jacobus",Jacobus,Jacobus Houbraken,606855,Houbraken,,,,Ulan,Artist,500007033,"Houbraken, Jacobus"
,1796,,1875,"Barye, Antoine-Louis",Antoine-Louis,Antoine-Louis Barye,606866,Barye,,,,Ulan,Artist,500007044,"Barye, Antoine-Louis"
,1568,,1625,Jan Brueghel the Elder,,,606915,,,,,Ulan,Artist,500007095,Jan Brueghel the Elder
,1858,,1941,"Luce, Maximilien",Maximilien,Maximilien Luce,606956,Luce,,,,Ulan,Artist,500007137,"Luce, Maximilien"
,1759-1833,,1759-1833,"Monro, Thomas",,"Monro, Thomas",607,"Monro, Thomas",,,,ULAN,Artist,,"Monro, Thomas"
,1898,,1972,"Escher, M. C.",M,M C. Escher,607041,Escher,C.,,,Ulan,Artist,500007222,"Escher, M. C."
,1636,,1672,"Velde, Adriaen van de",Adriaen,Adriaen v. Velde,607049,Velde,van de,,,Ulan,Artist,500007230,"Velde, Adriaen van de"
,1866,,1931,"Bernard, Joseph-Antoine",Joseph-Antoine,Joseph-Antoine Bernard,607080,Bernard,,,,Ulan,Artist,500007261,"Bernard, Joseph-Antoine"
,1930,,,"Arneson, Robert Carston",Robert,Robert C. Arneson,607084,Arneson,Carston,,,Ulan,Artist,500007265,"Arneson, Robert Carston"
,1840,,1916,"Redon, Odilon",Odilon,Odilon Redon,607111,Redon,,,,Ulan,Artist,500007292,"Redon, Odilon"
,1901,,1973,"Evergood, Philip",Philip,Philip Evergood,607127,Evergood,,,,Ulan,Artist,500007308,"Evergood, Philip"
,1566,,1651,"Bloemaert, Abraham",Abraham,Abraham Bloemaert,607161,Bloemaert,,,,Ulan,Artist,500007342,"Bloemaert, Abraham"
,1911,,1994,"Papart, Max",Max,Max Papart,607202,Papart,,,,Ulan,Artist,500007383,"Papart, Max"
,1600,,1645,"Linard, Jacques",Jacques,Jacques Linard,607363,Linard,,,,Ulan,Artist,500007551,"Linard, Jacques"
,1865,,1945,"Cameron, David Young",David,David Y. Cameron,607372,Cameron,Young,,,Ulan,Artist,500007560,"Cameron, David Young"
,1599,,1652,"Laer, Pieter van",Pieter,Pieter v. Laer,607377,Laer,van,,,Ulan,Artist,500007565,"Laer, Pieter van"
,1929,,,"Ferrara, Jackie",Jackie,Jackie Ferrara,607463,Ferrara,,,,Ulan,Artist,500007652,"Ferrara, Jackie"
,1914,,1973,"Jorn, Asger",Asger,Asger Jorn,607480,Jorn,,,,Ulan,Artist,500007669,"Jorn, Asger"
,1610,,1662,"Romanelli, Giovanni Francesco",Giovanni,Giovanni F. Romanelli,607587,Romanelli,Francesco,,,Ulan,Artist,500007779,"Romanelli, Giovanni Francesco"
,1744,,1818,"Cook, Thomas",Thomas,Thomas Cook,607615,Cook,,English,,Ulan,Artist,500007808,"Cook, Thomas"
,1898,,1976,"Calder, Alexander",Alexander,Alexander Calder,607631,Calder,,,,Ulan,Artist,500007824,"Calder, Alexander"
,1862,,1929,"Reid, Robert",Robert,Robert Reid,607638,Reid,,,,Ulan,Artist,500007831,"Reid, Robert"
,1914,,1988,"Bearden, Romare Howard",Romare,Romare H. Bearden,607678,Bearden,Howard,,,Ulan,Artist,500007871,"Bearden, Romare Howard"
,1864,,1940,"Hayet, Louis",Louis,Louis Hayet,607695,Hayet,,,,Ulan,Artist,500007888,"Hayet, Louis"
,1815,,1860,"Nichols, Abel",Abel,Abel Nichols,607735,Nichols,,,,Ulan,Artist,500007929,"Nichols, Abel"
,1803,,1881,"Knight, John Prescott",John,John P. Knight,607738,Knight,Prescott,,,Ulan,Artist,500007932,"Knight, John Prescott"
,1619,,1676,"Victors, Jan",Jan,Jan Victors,607757,Victors,,,,Ulan,Artist,500007951,"Victors, Jan"
,1891,,1971,"Knaths, Karl",Karl,Karl Knaths,607788,Knaths,,,,Ulan,Artist,500007983,"Knaths, Karl"
,1800,,1857,"Devéria, Achille",Achille,Achille Devéria,607857,Devéria,,,,Ulan,Artist,500008053,"Devéria, Achille"
,1871,,1945,"Rouland, Orlando",Orlando,Orlando Rouland,607934,Rouland,,,,Ulan,Artist,500008133,"Rouland, Orlando"
,,,,"Chauvel, Theophile Narcisse",,"Chauvel, Theophile Narcisse",608,"Chauvel, Theophile Narcisse",,,,ULAN,Artist,,"Chauvel, Theophile Narcisse"
,1922,,,"Bury, Pol",Pol,Pol Bury,608000,Bury,,,,Ulan,Artist,500008200,"Bury, Pol"
,1930,,,"Bailey, William",William,William Bailey,608071,Bailey,,,,Ulan,Artist,500008272,"Bailey, William"
,1868,,1941,"Morren, George",George,George Morren,608156,Morren,,,,Ulan,Artist,500008363,"Morren, George"
,1893,,1965,"Bissier, Julius",Julius,Julius Bissier,608158,Bissier,,,,Ulan,Artist,500008365,"Bissier, Julius"
Follower of,1395,,1464,"Weyden, Rogier van der",Rogier,Rogier v. Weyden,608177,Weyden,van der,,,Ulan,Artist,500008384,"Weyden, Rogier van der"
,1883,,1955,"Utrillo, Maurice",Maurice,Maurice Utrillo,608196,Utrillo,,,,Ulan,Artist,500008404,"Utrillo, Maurice"
,1872,,1955,Georges Paul-Manceau,Georges,Georges Paul-Manceau,6082,Paul-Manceau,,,,Registration-Verified,Artist,,
,1863,,1935,"Signac, Paul",Paul,Paul Signac,608202,Signac,,,,Ulan,Artist,500008410,"Signac, Paul"
,1607,,1676,"Cotelle, Jean, the elder",Jean,"Jean ,. Cotelle",608306,Cotelle,", the elder",,,Ulan,Artist,500008518,"Cotelle, Jean, the elder"
,1590,,1652,"Ribera, Jusepe de",Jusepe,Jusepe d. Ribera,608309,Ribera,de,,,Ulan,Artist,500008521,"Ribera, Jusepe de"
,1593,,1670,"Vignon, Claude",Claude,Claude Vignon,608337,Vignon,,,,Ulan,Artist,500008549,"Vignon, Claude"
,1643,,1712,"Colyer, Edwaert",Edwaert,Edwaert Colyer,608357,Colyer,,,,Ulan,Artist,500008569,"Colyer, Edwaert"
,1876,,1958,"Vlaminck, Maurice de",Maurice,Maurice d. Vlaminck,608370,Vlaminck,de,,,Ulan,Artist,500008582,"Vlaminck, Maurice de"
,1904,,1988,"Noguchi, Isamu",Isamu,Isamu Noguchi,608389,Noguchi,,,,Ulan,Artist,500008602,"Noguchi, Isamu"
,1915,,1982,"Gikow, Ruth",Ruth,Ruth Gikow,608517,Gikow,,,,Ulan,Artist,500008732,"Gikow, Ruth"
,1905,,1964,"Corbino, Jon",Jon,Jon Corbino,608552,Corbino,,,,Ulan,Artist,500008767,"Corbino, Jon"
,1951,,,John E. Thomas,John,John E. Thomas,6086,Thomas,E.,American,,Registration-Verified,Artist,,
,1660,,1719,"Schenck, Pieter",Pieter,Pieter Schenck,608610,Schenck,,,,Ulan,Artist,500008827,"Schenck, Pieter"
Follower of,1688,,1766,"Castiglione, Giuseppe",Giuseppe,Giuseppe Castiglione,608622,Castiglione,,,,Ulan,Artist,500008839,"Castiglione, Giuseppe"
,1864,,1940,"Woodbury, Charles Herbert",Charles,Charles H. Woodbury,608636,Woodbury,Herbert,,,Ulan,Artist,500008853,"Woodbury, Charles Herbert"
,1859,,1891,"Seurat, Georges",Georges,Georges Seurat,608654,Seurat,,,,Ulan,Artist,500008873,"Seurat, Georges"
,1883,,1960,"Romek, Árpád",rp,rp Á. Romek,608656,Romek,Áád,Hungarian,,Ulan,Artist,500008875,"Romek, Árpád"
,1728,,1792,"Adam, Robert",Robert,Robert Adam,608688,Adam,,,,Ulan,Artist,500008907,"Adam, Robert"
,,,,Richard B. Fuller,Richard,Richard B. Fuller,6087,Fuller,Buckminster,,,Registration-Verified,Artist,,
,1872,,1930,"Hawthorne, Charles Webster",Charles,Charles W. Hawthorne,608767,Hawthorne,Webster,,,Ulan,Artist,500008988,"Hawthorne, Charles Webster"
,1922,,,"Olitski, Jules",Jules,Jules Olitski,608827,Olitski,,,,Ulan,Artist,500009050,"Olitski, Jules"
,1864,,1926,"Russell, Charles Marion",Charles,Charles M. Russell,608861,Russell,Marion,,,Ulan,Artist,500009086,"Russell, Charles Marion"
,1891,,1985,"Laufman, Sidney",Sidney,Sidney Laufman,608862,Laufman,,,,Ulan,Artist,500009087,"Laufman, Sidney"
,1913,,1984,"Kuhn, Walter",Walter,Walter Kuhn,608878,Kuhn,,,,Ulan,Artist,500009103,"Kuhn, Walter"
,1775,,1802,"Girtin, Thomas",Thomas,Thomas Girtin,608944,Girtin,,,,Ulan,Artist,500009169,"Girtin, Thomas"
,,,,"Po, Pietro del",,"Po, Pietro del",609,"Po, Pietro del",,,,ULAN,Artist,,"Po, Pietro del"
,1828,,1893,"Veyrassat, Jules Jacques",Jules,Jules J. Veyrassat,609024,Veyrassat,Jacques,,,Ulan,Artist,500009250,"Veyrassat, Jules Jacques"
,1440,,1503,"Meckenem, Israhel van, the younger",Israhel,Israhel v. Meckenem,609079,Meckenem,"van, the younger",,,Ulan,Artist,500009306,"Meckenem, Israhel van, the younger"
,1945,,,"Nash, David",David,David Nash,609116,Nash,,,,Ulan,Artist,500009343,"Nash, David"
,1859,,1927,"Helleu, Paul César",Paul,Paul C. Helleu,609134,Helleu,César,,,Ulan,Artist,500009361,"Helleu, Paul César"
,1904,,1989,"Dalí, Salvador",Salvador,Salvador Dalí,609138,Dalí,,,,Ulan,Artist,500009365,"Dalí, Salvador"
,1941,,,Pat Lipsky,Pat,Pat Lipsky,609150,Lipsky,,,,Ulan,Artist,500009377,Pat Lipsky
,1754,,1817,"Appiani, Andrea I",,,609179,,,,,Ulan,Artist,500009406,"Appiani, Andrea I"
,1850,,1931,"French, Daniel Chester",Daniel,Daniel C. French,609207,French,Chester,,,Ulan,Artist,500009434,"French, Daniel Chester"
,1836,,1904,"Lenbach, Franz Seraph von",Franz,Franz S. Lenbach,609249,Lenbach,Seraph von,,,Ulan,Artist,500009477,"Lenbach, Franz Seraph von"
Possibly,1730,,1807,"Taylor, Isaac, I",Isaac,"Isaac ,. Taylor",609250,Taylor,", I",,,Ulan,Artist,500009478,"Taylor, Isaac, I"
,1897,,1961,Etienne Beothy,Etienne,Etienne Beothy,6093,Beothy,,,,Registration-Verified,Artist,,
,1733,,1808,"Robert, Hubert",Hubert,Hubert Robert,609327,Robert,,,,Ulan,Artist,500009558,"Robert, Hubert"
,1914,,1971,"Castellon, Federico",Federico,Federico Castellon,609344,Castellon,,,,Ulan,Artist,500009576,"Castellon, Federico"
,1802,,1844,"Monro, Alexander",Alexander,Alexander Monro,609381,Monro,,English,,Ulan,Artist,500009614,"Monro, Alexander"
,1900,,1982,"Tworkov, Jack",Jack,Jack Tworkov,609436,Tworkov,,,,Ulan,Artist,500009670,"Tworkov, Jack"
,,,,Ethel Schwabacher,Ethel,Ethel Schwabacher,6095,Schwabacher,,,,Registration-Verified,Artist,,
,1818,,1898,"Appian, Adolphe",Adolphe,Adolphe Appian,609583,Appian,,,,Ulan,Artist,500009819,"Appian, Adolphe"
,1908,,1992,Maria-Helena Vieira da Silva,Maria-Helena,Maria-Helena Vieira da Silva,6096,Vieira da Silva,,,,Registration-Verified,Artist,,
,1853,,1889,"Chase, Henry",Henry,Henry Chase,609626,Chase,,,,Ulan,Artist,500009863,"Chase, Henry"
,1632,,1698,"Loth, Johann Carl",Johann,Johann C. Loth,609645,Loth,Carl,,,Ulan,Artist,500009882,"Loth, Johann Carl"
,20th century,,,Louttre Bissiere,Louttre,Louttre Bissiere,6097,Bissiere,,,,Registration-Verified,Artist,,
,1879,,1965,"Camoin, Charles",Charles,Charles Camoin,609740,Camoin,,,,Ulan,Artist,500009979,"Camoin, Charles"
,1850,,1920,"Massani, Pompeo",Pompeo,Pompeo Massani,609806,Massani,,,,Ulan,Artist,500010046,"Massani, Pompeo"
,c. 1578,,1656/61,"Neeffs, Peeter, the elder",,,609807,,,,,Ulan,Artist,500010047,"Neeffs, Peeter, the elder"
,1899,,,"Pittman, Hobson",Hobson,Hobson Pittman,609809,Pittman,,,,Ulan,Artist,500010049,"Pittman, Hobson"
,1839,,1911,"Keith, William",William,William Keith,609866,Keith,,,,Ulan,Artist,500010110,"Keith, William"
,1979,,,Orly Genger,Orly,Orly Genger,6099,Genger,,,,Registration-Verified,Artist,,
,1904,,1971,"Mason, Alice Trumbull",Alice,Alice T. Mason,609997,Mason,Trumbull,,,Ulan,Artist,500010243,"Mason, Alice Trumbull"
,,,,"Masquelier, Louis Joseph, I",,"Masquelier, Louis Joseph, I",610,"Masquelier, Louis Joseph, I",,,,ULAN,Artist,,"Masquelier, Louis Joseph, I"
,,,,Jean Davidson,Jean,Jean Davidson,6100,Davidson,,,,Registration-Verified,Artist,,
,1911,,,"Barnet, Will",Will,Will Barnet,610031,Barnet,,,,Ulan,Artist,500010278,"Barnet, Will"
,1620,,1683,"Berchem, Nicolaes",Nicolaes,Nicolaes Berchem,610050,Berchem,,,,Ulan,Artist,500010297,"Berchem, Nicolaes"
Possibly,1759,,1829,"Taylor, Isaac, II",Isaac,"Isaac ,. Taylor",610060,Taylor,", II",,,Ulan,Artist,500010307,"Taylor, Isaac, II"
,1928,,1994,"Judd, Donald",Donald,Donald Judd,610110,Judd,,,,Ulan,Artist,500010358,"Judd, Donald"
,1911,,1993,"Manessier, Alfred",Alfred,Alfred Manessier,610114,Manessier,,,,Ulan,Artist,500010362,"Manessier, Alfred"
,1901,,1980,Howard Cook,Howard,Howard N. Cook,610173,Cook,Norton,,,Ulan,Artist,500010422,Howard Cook
,1873,,1958,"Pears, Charles",Charles,Charles Pears,610232,Pears,,,,Ulan,Artist,500010482,"Pears, Charles"
,1879,,1940,"Klee, Paul",Paul,Paul Klee,610242,Klee,,,,Ulan,Artist,500010493,"Klee, Paul"
,1891,,1972,"Procter, Dod",Dod,Dod Procter,610285,Procter,,,,Ulan,Artist,500010537,"Procter, Dod"
,1572,,1633,"Browne, John",John,John Browne,610311,Browne,,English,,Ulan,Artist,500010564,"Browne, John"
,1773,,1845,"Munn, Paul Sandby",Paul,Paul S. Munn,610382,Munn,Sandby,,,Ulan,Artist,500010636,"Munn, Paul Sandby"
,1924,,,Thelma Confer,Thelma,Thelma Confer,6104,Confer,,,,Registration-Verified,Artist,,
,1901,,1988,"Hayter, Stanley William",Stanley,Stanley W. Hayter,610435,Hayter,William,,,Ulan,Artist,500010689,"Hayter, Stanley William"
,1936,,,"Anderle, Jirí",Jir,Jir í. Anderle,610469,Anderle,í,,,Ulan,Artist,500010725,"Anderle, Jirí"
,1946,,,Olavi Lindén,Olavi,Olavi Lindén,6105,Lindén,,,,Registration-Verified,Artist,,
,1925,,1991,"Tinguely, Jean",Jean,Jean Tinguely,610546,Tinguely,,,,Ulan,Artist,500010804,"Tinguely, Jean"
,1927,,,"Dorazio, Piero",Piero,Piero Dorazio,610568,Dorazio,,,,Ulan,Artist,500010826,"Dorazio, Piero"
,1861,,1940,"Waugh, Frederick Judd",Frederick,Frederick J. Waugh,610640,Waugh,Judd,,,Ulan,Artist,500010898,"Waugh, Frederick Judd"
,1541,,1614,El Greco,,El Greco,610658,El Greco,,,,Ulan,Artist,500010916,El Greco
,1819,,1877,"Courbet, Gustave",Gustave,Gustave Courbet,610669,Courbet,,,,Ulan,Artist,500010927,"Courbet, Gustave"
,1948,,2001,"Sigler, Hollis",Hollis,Hollis Sigler,610683,Sigler,,,,Ulan,Artist,500010941,"Sigler, Hollis"
,1898,,1983,"Von Wiegand, Charmion",Charmion,Charmion Von Wiegand,610690,Von Wiegand,,,,Ulan,Artist,500010948,"Von Wiegand, Charmion"
,1929,,,"Gehry, Frank Owen",Frank,Frank O. Gehry,610704,Gehry,Owen,,,Ulan,Artist,500010962,"Gehry, Frank Owen"
,1944,,,"Bosman, Richard",Richard,Richard Bosman,610718,Bosman,,,,Ulan,Artist,500010976,"Bosman, Richard"
,1850,,1909,"Gregory, Edward John",Edward,Edward J. Gregory,610789,Gregory,John,,,Ulan,Artist,500011047,"Gregory, Edward John"
,1606,,1669,Rembrandt van Rijn,,Rembrandt van Rijn,610793,Rembrandt van Rijn,,,,Ulan,Artist,500011051,Rembrandt van Rijn
,1839,,1917,"De Morgan, William",William,William De Morgan,610813,De Morgan,,,,Ulan,Artist,500011072,"De Morgan, William"
,1644,,1711,"Boudewyns, Adriaen Frans",Adriaen,Adriaen F. Boudewyns,610842,Boudewyns,Frans,,,Ulan,Artist,500011103,"Boudewyns, Adriaen Frans"
,1839,,1925,Nakahara Nantenbo,,Nakahara Nantenbo,6109,Nakahara Nantenbo,,,,Registration-Verified,Artist,,
,1825,,1905,"Bouguereau, William-Adolphe",William,William -. Bouguereau,610941,Bouguereau,-Adolphe,,,Ulan,Artist,500011205,"Bouguereau, William-Adolphe"
,1800,,1876,"Klerk, Willem de",Willem,Willem d. Klerk,610978,Klerk,de,,,Ulan,Artist,500011244,"Klerk, Willem de"
,,,,"Leibl, Wilhelm Maria Hubertus",,"Leibl, Wilhelm Maria Hubertus",611,"Leibl, Wilhelm Maria Hubertus",,,,ULAN,Artist,,"Leibl, Wilhelm Maria Hubertus"
,1900,,1996,"Chermayeff, Serge",Serge,Serge Chermayeff,611075,Chermayeff,,,,Ulan,Artist,500011342,"Chermayeff, Serge"
,1923,,2012,"Tàpies, Antoni",Antoni,Antoni Tàpies,611106,Tàpies,,Spanish,,Ulan,Artist,500011373,"Tàpies, Antoni"
,1848,,1903,"Gauguin, Paul",Paul,Paul Gauguin,611152,Gauguin,,,,Ulan,Artist,500011421,"Gauguin, Paul"
,1885,,1956,"Laurencin, Marie",Marie,Marie Laurencin,611155,Laurencin,,,,Ulan,Artist,500011424,"Laurencin, Marie"
,1864,,1951,"Rivière, Henri",Henri,Henri Rivière,611196,Rivière,,French,,Ulan,Artist,500011467,"Rivière, Henri"
,1875,,1962,Henry R. MacGinnis,Henry,Henry R. MacGinnis,6112,MacGinnis,Ryan,,,Registration-Verified,Artist,,
,1932,,,"Crutchfield, William Richard",William,William R. Crutchfield,611230,Crutchfield,Richard,,,Ulan,Artist,500011501,"Crutchfield, William Richard"
After,1656,,1746,"Largillière, Nicolas de",Nicolas,Nicolas d. Largillière,611288,Largillière,de,,,Ulan,Artist,500011561,"Largillière, Nicolas de"
,1800,,1863,James T. Willmore,James,James T. Willmore,6113,Willmore,Tibbitts,,,Registration-Verified,Artist,,
,1825,,1894,"Gautier, Armand",Armand,Armand Gautier,611566,Gautier,,,,Ulan,Artist,500011846,"Gautier, Armand"
Attributed to,1791,,1814,"Monro, Henry",Henry,Henry Monro,611658,Monro,,,,Ulan,Artist,500011940,"Monro, Henry"
,1625,,1654,"Potter, Paulus",Paulus,Paulus Potter,611725,Potter,,,,Ulan,Artist,500012008,"Potter, Paulus"
,1865,,1925,"Bartlett, Paul Wayland",Paul,Paul W. Bartlett,611728,Bartlett,Wayland,,,Ulan,Artist,500012011,"Bartlett, Paul Wayland"
,1840,,1905,"Gifford, Robert Swain",Robert,Robert S. Gifford,611923,Gifford,Swain,,,Ulan,Artist,500012208,"Gifford, Robert Swain"
,1938,,,"Baeder, John",John,John Baeder,611963,Baeder,,,,Ulan,Artist,500012249,"Baeder, John"
,1867,,1915,"Bitter, Karl Theodore Francis",Karl,Karl T. Bitter,611991,Bitter,Theodore Francis,  ,,Ulan,Artist,500012278,"Bitter, Karl Theodore Francis"
,1883,,1949,"Orozco, José Clemente",Jos,Jos é. Orozco,612028,Orozco,é Clemente,,,Ulan,Artist,500012316,"Orozco, José Clemente"
,1880,,1949,"Kuhn, Walt",Walt,Walt Kuhn,612084,Kuhn,,,,Ulan,Artist,500012372,"Kuhn, Walt"
,1926,,,Kay Sekimachi,Kay,Kay Sekimachi,6121,Sekimachi,,,,Registration-Verified,Artist,,
,1593,,1678,"Jordaens, Jacob",Jacob,Jacob Jordaens,612139,Jordaens,,,,Ulan,Artist,500012431,"Jordaens, Jacob"
,1834,,1903,"Whistler, James Abbott McNeill",James,James A. Whistler,612140,Whistler,Abbott McNeill,,,Ulan,Artist,500012432,"Whistler, James Abbott McNeill"
,1823,,1900,"Cropsey, Jasper Francis",Jasper,Jasper F. Cropsey,612195,Cropsey,Francis,,,Ulan,Artist,500012491,"Cropsey, Jasper Francis"
,1793,,1867,"Stanfield, Clarkson",Clarkson,Clarkson Stanfield,612230,Stanfield,,,,Ulan,Artist,500012527,"Stanfield, Clarkson"
,1814,,1875,"Millet, Jean-François",Jean-François,Jean-François Millet,612232,Millet,,,,Ulan,Artist,500012529,"Millet, Jean-François"
,1856,,1913,"Moret, Henry",Henry,Henry Moret,612250,Moret,,,,Ulan,Artist,500012548,"Moret, Henry"
,1764,,1838,"Percier, Charles",Charles,Charles Percier,612360,Percier,,,,Ulan,Artist,500012660,"Percier, Charles"
,1628,,1671,"Bisschop, Jan de",Jan,Jan d. Bisschop,612401,Bisschop,de,,,Ulan,Artist,500012701,"Bisschop, Jan de"
,1878,,1925,"Cousturier, Lucie",Lucie,Lucie Cousturier,612477,Cousturier,,,,Ulan,Artist,500012778,"Cousturier, Lucie"
,1842,,1921,"Richmond, William Blake",William,William B. Richmond,612478,Richmond,Blake,,,Ulan,Artist,500012779,"Richmond, William Blake"
,1939,,,"Han, H. N.",H,H N. Han,612486,Han,N.,,,Ulan,Artist,500012787,"Han, H. N."
,1860,,1940,"O'Conor, Roderic",Roderic,Roderic O'Conor,612579,O'Conor,,,,Ulan,Artist,500012883,"O'Conor, Roderic"
,1877,,1943,"Hartley, Marsden",Marsden,Marsden Hartley,612606,Hartley,,,,Ulan,Artist,500012910,"Hartley, Marsden"
,1868,,1941,"Bernard, Emile",Emile,Emile Bernard,612621,Bernard,,,,Ulan,Artist,500012925,"Bernard, Emile"
,1867,,1944,"Gibson, Charles Dana",Charles,Charles D. Gibson,612633,Gibson,Dana,,,Ulan,Artist,500012937,"Gibson, Charles Dana"
,1874,,1939,"Frieseke, Frederick Carl",Frederick,Frederick C. Frieseke,612653,Frieseke,Carl,,,Ulan,Artist,500012957,"Frieseke, Frederick Carl"
,1824,,1911,"Israëls, Jozef",Jozef,Jozef Israëls,612675,Israëls,,,,Ulan,Artist,500012980,"Israëls, Jozef"
,1603,,1678,Pietro della Vecchia,,Pietro della Vecchia,612688,Pietro della Vecchia,,,,Ulan,Artist,500012994,Pietro della Vecchia
,1874,,1960,"Blumenschein, Ernest Leonard",Ernest,Ernest L. Blumenschein,612698,Blumenschein,Leonard,,,Ulan,Artist,500013004,"Blumenschein, Ernest Leonard"
,1612,,1652,"Cuyp, Benjamin Gerritsz.",Benjamin,Benjamin G. Cuyp,612744,Cuyp,Gerritsz,,,Ulan,Artist,500013051,"Cuyp, Benjamin Gerritsz."
,1487,,1540,"Francia, Giulio",Giulio,Giulio Francia,612806,Francia,,,,Ulan,Artist,500013114,"Francia, Giulio"
,1863,,1928,"Filiger, Charles",Charles,Charles Filiger,612835,Filiger,,,,Ulan,Artist,500013144,"Filiger, Charles"
,1855,,1930,"Moeller, Louis Charles",Louis,Louis C. Moeller,612976,Moeller,Charles,,,Ulan,Artist,500013286,"Moeller, Louis Charles"
